代码,11.代码（处理方法）,13.代码（处理的主要污染物）,14.处理效率（%）（处理的主要污染物）,11.代码（处理方法）,16.代码（处理的主要污染物）,17.处理效率（%）（处理的主要污染物）,11.代码（处理方法）,19.代码（处理的主要污染物）,20.处理效率（%）（处理的主要污染物）
520112002173G121440301600,J2,2003,95,J2,2099,,J2,2099,
520112002173G121443681100,J2,2003,93.3,J2,2100,,J2,,
520112002173G121590184200,J9,2100,90,J9,,,J9,,
520112002173G121590184200,J2,2099,95,J2,,,J2,,
520112002173G121590184200,J2,2001,90,J2,,,J2,,
520112002173G191459233X00,J2,2001,,J2,,,J2,,
520112002173G191459233X00,J2,2100,,J2,,,J2,,
520112002173G191459233X00,J2,2100,,J2,,,J2,,
520112002173G191459233X00,J2,2100,,J2,,,J2,,
520112002173G191459233X00,J2,2100,,J2,,,J2,,
520112002202G121449449900,E,2100,99.7,E,,,E,,
520112002202G121449449900,E,2100,99.7,E,,,E,,
520112002202G121449449900,E,2100,99.7,E,,,E,,
520112003202G177059575X00,J9,2100,93,J9,,,J9,,
520112003202G177059575X00,J3,2100,98,J3,,,J3,,
520112003203G121459513400,J9,2100,75,J9,,,J9,,
520112003203G121459513400,J9,2100,93,J9,,,J9,,
520112003203G121459513400,J9,2100,85,J9,,,J9,,
520112003203G166698222300,C,2001,84,C,2002,24,C,,
520112003203G172215969700,C,2001,81,C,2002,22,C,,
520112100209G173661516000,D,2001,82,D,,,D,,
520112101005G121455020000,J9,2100,95,J9,,,J9,,
520112101201G121459724400,G,2100,60,G,,,G,,
520112101209G121459322700,D,2100,99,D,,,D,,
520112101209G121459322700,D,2100,99,D,,,D,,
520112101209G121459322700,W,2100,99,W,,,W,,
520112101210G121459292900,D,2100,99,D,,,D,,
520112101210G121459292900,D,2100,99,D,,,D,,
520112101210G121459292900,D,2100,99,D,,,D,,
520112101210G166696920500,J1,2001,75,J1,,,J1,,
520112102201G170966422601,W,2100,98,W,,,W,,
520112102209G121459666300,D,2100,99,D,,,D,,
520112102209G121459666300,D,2100,99,D,,,D,,
520112103207G121441265X00,J9,2001,95,J9,,,J9,,
520112104207G177058748500,J2,2100,99,J2,,,J2,,
520112104207G178019289000,J2,2100,91,J2,,,J2,,
520112104211G191446515400,E,2100,95.3,E,,,E,,
520113000000G121441312x00,j9,2100,99,j9,,,j9,,
520113000000G121441312x00,j9,2100,99.9,j9,,,j9,,
